	bweight.new	bcommon.num.new
fra (pp) spa	0.158315495172775	36240
eng (pp) zho	0.646049481245012	40475
por (pp) eng	0.0157012591083708	2297
lat (pp) nld	0.00532454588716991	593
slk (pp) eng	0.00272054903140252	398
fra (pp) mkd	0.0933094078441425	364
grc (pp) pol	0.00814650677789364	625
spa (pp) fra	0.0351710747579289	8387
ron (pp) deu	0.00256397967986198	749
spa (pp) ara	0.0271460602178091	339
fro (pp) fra	0.0015474098707137	369
gmh (pp) deu	0.00120154454957484	351
cat (pp) spa	0.0233410510681054	5343
hbs (pp) mkd	0.134324532171238	524
rus (pp) slk	0.0961254518609032	1888
rus (pp) lit	0.14753673852528	2279
jpn (pp) zho	0.114860335195531	7196
deu (pp) fra	0.0970926307225859	23153
lat (pp) jpn	0.00233014752507774	305
ces (pp) hun	0.0246412918947426	1355
lat (pp) ces	0.00620713199466187	400
hbs (pp) eng	0.0266518107372825	3899
swe (pp) ces	0.00491915210576953	317
deu (pp) hbs	0.11177724487077	5034
fra (pp) ces	0.0643524409546569	4147
kor (pp) fra	0.00469255188435942	1119
deu (pp) swe	0.0522681620354871	3747
grc (pp) swe	0.00446378752371387	320
fin (pp) fra	0.00135870134989495	324
ara (pp) spa	0.00493206937224237	1129
rus (pp) ara	0.122837924407431	1534
grc (pp) dan	0.00470686276022778	305
spa (pp) ron	0.0258882149046794	478
slk (pp) deu	0.0011981213457299	350
deu (pp) nor	0.0508024301548244	2333
swe (pp) est	0.0377092938607134	777
bul (pp) rus	0.0134465761368579	1113
slv (pp) eng	0.00317853090352304	465
grc (pp) hun	0.00561930567931768	309
spa (pp) ell	0.0329662314929619	904
fra (pp) heb	0.0622206003101907	682
nor (pp) eng	0.00909128193910892	1330
rus (pp) uig	0.262096774193548	390
pol (pp) ita	0.00528163128865118	316
por (pp) ita	0.0059669062343306	357
jpn (pp) rus	0.0061252597496738	507
pol (pp) eng	0.015537205900447	2273
eng (pp) hbs	0.513389288569145	23121
zho (pp) kaz	0.13080684596577	321
spa (pp) bul	0.0158884313573149	409
fin (pp) eng	0.010793333971318	1579
deu (pp) eus	0.0815702268671935	320
eng (pp) ara	0.535233824471493	6684
heb (pp) fra	0.00536351551393717	1279
spa (pp) por	0.0696055994967947	5201
spa (pp) hbs	0.0246913580246914	1112
est (pp) deu	0.00152674891484438	446
tur (pp) deu	0.00235858744916542	689
fra (pp) nld	0.104264126208798	11612
lat (pp) pol	0.00753388946819604	578
swe (pp) dan	0.115943147270791	7513
ukr (pp) eng	0.00280941118569456	411
hbs (pp) ita	0.0101286979776032	606
deu (pp) sqi	0.08628089388782	583
deu (pp) eng	0.191586804653643	28028
nor (pp) deu	0.00675398118607167	1973
spa (pp) hun	0.0147484042262998	811
ara (pp) msa	0.189992614475628	1029
spa (pp) cat	0.200844256831815	3616
spa (pp) swe	0.00922051110367146	661
ita (pp) dan	0.00950631954196824	616
spa (pp) deu	0.022226862565212	6493
ces (pp) eng	0.0213132459294298	3118
jpn (pp) deu	0.00715449603592995	2090
cat (pp) fra	0.0028893371298692	689
jpn (pp) nld	0.00299898537321206	334
rus (pp) hin	0.157729606389047	553
hye (pp) rus	0.00577489972454453	478
rus (pp) nld	0.00929326305770802	1035
eng (pp) nld	0.659264979213619	73423
pol (pp) rus	0.0188469530759194	1560
lat (pp) spa	0.0126599973788825	2898
jpn (pp) fra	0.0359636505453676	8576
rus (pp) bak	0.910358565737052	457
bel (pp) rus	0.00854153578504808	707
kaz (pp) rus	0.00808244333832697	669
fin (pp) deu	0.00229354657611151	670
fra (pp) hun	0.0717779919620288	3947
spa (pp) pol	0.0193952033368092	1488
deu (pp) pol	0.131856100104275	10116
fra (pp) isl	0.0535769112680381	349
yid (pp) deu	0.00104407717270748	305
eng (pp) pol	0.588933785192909	45183
swe (pp) nor	0.133636739760033	6137
nor (pp) pol	0.00598279457768509	459
slk (pp) ces	0.0171627199652401	1106
fra (pp) kor	0.0723430924881368	1616
eng (pp) glg	0.182201602699283	432
swe (pp) jpn	0.00459917642654687	602
ita (pp) nld	0.0157401837103016	1753
rus (pp) pol	0.0439259645464025	3370
zho (pp) uig	0.565188172043011	841
ita (pp) hbs	0.0629718447464251	2836
grc (pp) fra	0.00891123570532955	2125
fra (pp) hbs	0.107958077982059	4862
fra (pp) ell	0.176135949237838	4830
deu (pp) isl	0.0486644151059257	317
ita (pp) pol	0.0413842544316997	3175
ces (pp) rus	0.0108128352582999	895
ukr (pp) rus	0.0132291112936742	1095
lav (pp) rus	0.00651186391533369	539
slv (pp) deu	0.00162944503019266	476
deu (pp) cat	0.0954787824927794	1719
urd (pp) eng	0.00211902060234869	310
deu (pp) fin	0.0711892978323356	3294
hun (pp) pol	0.00450990615224192	346
heb (pp) eng	0.0193514429846747	2831
jpn (pp) ita	0.00514791910412836	308
deu (pp) ces	0.270972347226964	17462
nld (pp) eng	0.0195154961925985	2855
ara (pp) deu	0.00378264024866153	1105
deu (pp) ara	0.0434817424727739	543
eng (pp) mri	0.971786833855799	310
zho (pp) bod	0.88953488372093	306
eng (pp) por	0.626677908486236	46826
fra (pp) bul	0.0930386139383109	2395
eng (pp) nor	0.650893887594452	29891
eng (pp) ell	0.605316898840347	16599
swe (pp) pol	0.0127867570385819	981
fra (pp) cat	0.180071095312153	3242
grc (pp) ita	0.0146247701821829	875
glg (pp) spa	0.00343803241448604	787
eng (pp) mkd	0.388874647526275	1517
pol (pp) lit	0.0240176085971386	371
rus (pp) jpn	0.0151344991710787	1981
deu (pp) ron	0.0847053726169844	1564
dan (pp) pol	0.00394942648592284	303
eng (pp) est	0.570298471244843	11751
deu (pp) tur	0.0943237325248442	1120
heb (pp) spa	0.00314097243458128	719
deu (pp) zho	0.0630806065442937	3952
hun (pp) deu	0.00956100833892457	2793
eng (pp) kor	0.765959351777241	17110
nld (pp) jpn	0.0032698463630599	428
grc (pp) spa	0.0109300598488489	2502
fra (pp) eng	0.193541772048068	28314
fra (pp) dan	0.0552940631799873	3583
spa (pp) zho	0.00659217877094972	413
rus (pp) vie	0.684478371501272	538
dan (pp) spa	0.00512865318247346	1174
cat (pp) eus	0.0797858781544736	313
por (pp) fra	0.00662157231939546	1579
fra (pp) ron	0.229636048526863	4240
ces (pp) fra	0.00370288053073223	883
hbs (pp) hun	0.0141664696575679	779
por (pp) deu	0.00451178266763429	1318
eng (pp) fas	0.705004854797423	7987
jpn (pp) eng	0.023760372947626	3476
rus (pp) deu	0.03695006230231	10794
slv (pp) hbs	0.0156763478106404	706
dan (pp) rus	0.00640313149374185	530
por (pp) spa	0.0117338692062383	2686
rus (pp) tur	0.0570153276065353	677
fra (pp) lav	0.0511970534069982	417
fra (pp) pol	0.0839416058394161	6440
rus (pp) fas	0.0654073616382735	741
nld (pp) ces	0.00603643586480867	389
nor (pp) fin	0.0172678351451233	799
zho (pp) deu	0.00396749325628843	1159
hun (pp) eng	0.0217507211505598	3182
eng (pp) urd	0.32636815920398	328
deu (pp) lit	0.138538227487538	2140
fra (pp) jpn	0.0755808179199804	9893
rus (pp) sqi	0.0486902471511026	329
bod (pp) eng	0.00291194444064692	426
deu (pp) por	0.060183884048661	4497
nld (pp) dan	0.0125001929042115	810
fra (pp) deu	0.110665333899303	32328
kat (pp) rus	0.00804619919779636	666
fra (pp) swe	0.0488505747126437	3502
nld (pp) deu	0.0213539455847517	6238
grc (pp) rus	0.00706760740346977	585
rus (pp) bel	0.647278548559232	1213
hbs (pp) fra	0.00410126518579402	978
ita (pp) sqi	0.078141186917271	528
fas (pp) deu	0.00113308047267599	331
eng (pp) slk	0.33531897561224	6586
fra (pp) fas	0.0617883308323771	700
fra (pp) zho	0.0636233040702315	3986
rus (pp) swe	0.0131960718669791	946
jpn (pp) dan	0.00864210867451658	560
swe (pp) rus	0.00707968878364664	586
eng (pp) lav	0.474033149171271	3861
fra (pp) rus	0.0955999613395834	7913
swe (pp) fra	0.00560254630697425	1336
rus (pp) zho	0.0425379090183559	2665
rus (pp) kir	0.827225130890052	1264
fra (pp) por	0.152768298068816	11415
est (pp) eng	0.011661448863248	1706
lat (pp) fra	0.0117083153361318	2792
rus (pp) ron	0.0497183708838821	918
fra (pp) ara	0.16599935938501	2073
nld (pp) nor	0.00762145330226684	350
cat (pp) deu	0.00115704289959058	338
dan (pp) fra	0.00428997370661277	1023
eng (pp) rus	0.497112550137728	41147
est (pp) rus	0.0278596626878655	2306
kor (pp) zho	0.0222505985634477	1394
swe (pp) hun	0.00594664387422939	327
pol (pp) fra	0.00486029279175386	1159
aze (pp) rus	0.00525540037693906	435
hbs (pp) deu	0.00470348208295108	1374
san (pp) eng	0.00812746934255677	1189
eng (pp) fin	0.609344946078537	28195
rus (pp) ben	0.223109691160809	419
deu (pp) ita	0.130285809794418	7795
rus (pp) bul	0.152163779038148	3917
ces (pp) slk	0.19199633419887	3771
nld (pp) spa	0.00432484382508409	990
ell (pp) fra	0.00251192008823172	599
spa (pp) slv	0.0172551952561568	323
swe (pp) spa	0.00377877768555327	865
deu (pp) jpn	0.0673603630446242	8817
ita (pp) cat	0.054099089091313	974
hbs (pp) slv	0.0354719803408302	664
swe (pp) isl	0.0893460239484188	582
eus (pp) spa	0.00270848805207287	620
deu (pp) hun	0.185618941970212	10207
est (pp) fin	0.00851505262475417	394
eng (pp) tha	0.880195599022005	1080
eng (pp) hun	0.508974522177163	27988
rus (pp) uzb	0.804134929270947	2217
rus (pp) kat	0.604779411764706	1316
mkd (pp) sqi	0.0899807606926151	608
hun (pp) fra	0.00331288292104016	790
jpn (pp) swe	0.00813246289476621	583
ara (pp) eng	0.0110804270851846	1621
eng (pp) deu	0.627572537689474	183329
rus (pp) fra	0.0255511337188579	6093
swe (pp) fin	0.120896457824555	5594
eng (pp) cat	0.353810264385692	6370
rus (pp) spa	0.0254685247477174	5830
eng (pp) afr	0.95360824742268	740
spa (pp) ces	0.0131901554886565	850
oci (pp) fra	0.0017612795276416	420
ron (pp) fra	0.00393771780108444	939
hbs (pp) rus	0.00514666795534722	426
rus (pp) ukr	0.471200708905627	2127
ben (pp) eng	0.0033289130107865	487
deu (pp) bul	0.0920674384274726	2370
nor (pp) swe	0.0418619573708292	3001
ita (pp) fra	0.0486867983712358	11610
spa (pp) glg	0.347110923660903	823
pol (pp) hun	0.00991107312371565	545
zho (pp) fra	0.00618544596016992	1475
san (pp) hin	0.144894466628637	508
slk (pp) hun	0.0200767426212515	1104
lat (pp) deu	0.01251523325711	3656
nor (pp) spa	0.00138482372985016	317
hin (pp) eng	0.00246763366918671	361
ces (pp) pol	0.0102711157455683	788
hun (pp) hbs	0.00917044142463807	413
rus (pp) nor	0.0117152625046273	538
spa (pp) nor	0.00969013348431069	445
rus (pp) hun	0.0459728309298223	2528
deu (pp) heb	0.0471672292674026	517
spa (pp) nld	0.0132709592263695	1478
fra (pp) ita	0.183553401303694	10982
rus (pp) mol	0.586827956989247	2183
pol (pp) bul	0.0120037293139616	309
eng (pp) swe	0.682010936279433	48892
zho (pp) jpn	0.0139808851504664	1830
fra (pp) eus	0.136120316084629	534
eng (pp) mal	0.376871880199667	453
pol (pp) slk	0.0246423298202739	484
rus (pp) tuk	0.781376518218624	579
eng (pp) isl	0.562480810561867	3664
ita (pp) spa	0.0545935083657333	12497
slk (pp) pol	0.00436652763295099	335
fra (pp) glg	0.13580767608604	322
eng (pp) eus	0.236043843996941	926
ces (pp) spa	0.00193962692761347	444
ces (pp) nld	0.00281042641262088	313
dan (pp) eng	0.0290715955541581	4253
deu (pp) kor	0.0747604978064285	1670
swe (pp) nld	0.0108645877293012	1210
eng (pp) ben	0.366347177848775	688
rus (pp) lav	0.205279312461633	1672
nor (pp) isl	0.0704636168252993	459
ara (pp) rus	0.00533997003817716	442
fin (pp) rus	0.00496544725269415	411
swe (pp) deu	0.0171810600977667	5019
ben (pp) hin	0.139760410724472	490
ita (pp) slv	0.0542764036540413	1016
hun (pp) slk	0.0185835751743801	365
rus (pp) est	0.100072797864596	2062
ces (pp) deu	0.0102730347386726	3001
fra (pp) lit	0.0809218618501975	1250
rus (pp) ell	0.0200933556998031	551
san (pp) deu	0.00131793348030289	385
hbs (pp) ron	0.0194432409012132	359
fra (pp) slk	0.0667481289140064	1311
rus (pp) mon	0.203466776723071	493
pol (pp) deu	0.0100402568772165	2933
deu (pp) dan	0.0739517585147919	4792
lat (pp) eng	0.0174716666438815	2556
nor (pp) nld	0.00456133104668181	508
grc (pp) deu	0.00934192329284824	2729
rus (pp) tam	0.233125354509359	411
grc (pp) nld	0.0040674861498954	453
nor (pp) fra	0.00239030793037075	570
eng (pp) cym	0.955882352941177	2210
eng (pp) tam	0.385138967668746	679
dan (pp) fin	0.0162088565192021	750
eng (pp) mar	0.400911161731207	352
deu (pp) fas	0.0383087651160738	434
uzb (pp) rus	0.00625815493161939	518
eng (pp) sin	0.450074515648286	302
ita (pp) rus	0.0126492050451844	1047
mol (pp) eng	0.00447728546625289	655
mol (pp) rus	0.0225800995505727	1869
fra (pp) sqi	0.115287849637413	779
kir (pp) rus	0.00442178514473493	366
spa (pp) ita	0.0448604379074043	2684
por (pp) nld	0.00278348941825071	310
hun (pp) rus	0.0114893925482047	951
tat (pp) rus	0.00421640168172812	349
ita (pp) por	0.0426252325316845	3185
fra (pp) tur	0.16085565100219	1910
heb (pp) deu	0.00721269050129397	2107
lit (pp) eng	0.00279574008503425	409
rus (pp) dan	0.00984583095418139	638
zho (pp) kor	0.0289193302891933	646
fra (pp) fin	0.056061031747747	2594
yid (pp) eng	0.00262485132678032	384
lit (pp) rus	0.0072246653457691	598
rus (pp) kaz	0.620619396903015	1523
nld (pp) hun	0.0058739020531379	323
eng (pp) ron	0.440316291161178	8130
heb (pp) nld	0.00290919539197816	324
rus (pp) fin	0.0261070649002615	1208
bul (pp) deu	0.00127000862647369	371
ita (pp) swe	0.00889967637540453	638
eng (pp) tur	0.455196227050699	5405
eng (pp) sqi	0.300281189877164	2029
jpn (pp) spa	0.00522039229391464	1195
ita (pp) slk	0.0302428593248816	594
sqi (pp) fra	0.00142579771285273	340
rus (pp) aze	0.704463208685163	1168
grc (pp) eng	0.0147237754111584	2154
ita (pp) jpn	0.0115896190017801	1517
kor (pp) jpn	0.00949630614318566	1243
zho (pp) spa	0.00213621073784457	489
deu (pp) rus	0.0755811143865075	6256
ron (pp) eng	0.0106976362666958	1565
ita (pp) ces	0.0179230936345861	1155
deu (pp) est	0.0947828197039554	1953
dan (pp) isl	0.10009210930304	652
ara (pp) fas	0.0612587165680996	694
spa (pp) jpn	0.00778498468214496	1019
fin (pp) swe	0.0380258899676375	2726
ita (pp) hun	0.0282420120387714	1553
deu (pp) lav	0.124248004910988	1012
rus (pp) ces	0.0462120977002576	2978
fin (pp) est	0.0462023780635768	952
dan (pp) deu	0.0099580999849379	2909
dan (pp) swe	0.0482926012721794	3462
hbs (pp) sqi	0.109368062749741	739
eng (pp) spa	0.56006727534839	128205
grc (pp) hbs	0.0110356159516831	497
eng (pp) msa	0.677991137370753	3672
hbs (pp) slk	0.0256096940074334	503
ita (pp) ron	0.035907712305026	663
ron (pp) hun	0.0118751022931859	653
swe (pp) eng	0.0307736475863672	4502
rus (pp) hye	0.728845254791959	1559
dan (pp) nor	0.0489297302005531	2247
pol (pp) hbs	0.00917044142463807	413
ell (pp) eng	0.0114085335010322	1669
rus (pp) hbs	0.0554667377209344	2498
eng (pp) mol	0.141935483870968	528
ita (pp) eng	0.0383611084528415	5612
ita (pp) ell	0.0477353949383707	1309
rus (pp) tat	0.892551892551893	731
rus (pp) ita	0.0246698980444593	1476
rus (pp) kaa	0.76056338028169	432
deu (pp) nld	0.135214732740121	15059
cym (pp) eng	0.00333574856111666	488
dan (pp) nld	0.00467805802228587	521
ita (pp) lit	0.0290671327765909	449
spa (pp) eng	0.0631878272519721	9244
rus (pp) kor	0.0177724057659594	397
spa (pp) eus	0.351006882487892	1377
eng (pp) hin	0.262977752424415	922
spa (pp) fin	0.0100494910419053	465
rus (pp) por	0.0178129307691278	1331
fas (pp) eng	0.00431323225832912	631
ita (pp) deu	0.0324245868192959	9472
ell (pp) deu	0.00226273774150703	661
deu (pp) ell	0.0737364160163373	2022
eng (pp) dan	0.623003441411133	40370
ita (pp) est	0.0155302111138073	320
fra (pp) nor	0.0405896827297868	1864
eng (pp) jpn	0.769628627963298	100739
eng (pp) slv	0.515946364656232	9658
isl (pp) deu	0.00107830921115691	315
ara (pp) fra	0.00874349479793511	2085
nld (pp) fra	0.0138553989507806	3304
spa (pp) slk	0.0159360521358383	313
eng (pp) heb	0.786424596295958	8620
lat (pp) por	0.0067852410968804	507
nor (pp) dan	0.0458957699964506	2974
bul (pp) eng	0.00298713549427864	437
lat (pp) hbs	0.00870414779287681	392
fra (pp) slv	0.104813291308296	1962
pol (pp) spa	0.00246821895067931	565
ita (pp) zho	0.0108858739026337	682
rus (pp) eng	0.0846582908389955	12385
ara (pp) tur	0.0763853798214587	907
lat (pp) ita	0.0232659201069697	1392
eng (pp) lit	0.449990289376578	6951
cat (pp) eng	0.00600161318987792	878
zho (pp) mon	0.605447791993397	1467
nld (pp) swe	0.00783952683852249	562
deu (pp) slk	0.128557609083041	2525
eng (pp) ces	0.499425840290494	32184
nld (pp) fin	0.00726156772060254	336
eng (pp) bul	0.523463600341854	13475
deu (pp) slv	0.187136064960735	3503
deu (pp) spa	0.0892228386702197	20424
ita (pp) nor	0.00827472072817542	380
spa (pp) rus	0.0102208476296332	846
ita (pp) bul	0.015966125398182	411
rus (pp) tgk	0.740112994350282	786
eng (pp) ita	0.504245361858599	30169
lat (pp) hun	0.00980196039207842	539
ron (pp) rus	0.00554535350118398	459
zho (pp) eng	0.0133019809424857	1946
pol (pp) ces	0.0156419726265479	1008
fra (pp) est	0.0565882067459355	1166
eng (pp) fra	0.628139375919954	149788
ita (pp) fin	0.0164898100322016	763
spa (pp) dan	0.0114507939937345	742
eng (pp) ukr	0.0996898537882144	450
