	Name	Code	Translations from	Translations to
1	Afrikaans	afr	357	776
2	Albanian	sqi	1,424	6,757
3	Arabic	ara	11,884	12,488
4	Armenian	hye	1,100	2,139
5	Azerbaijani	aze	774	1,658
6	Bashkir	bak	357	502
7	Basque	eus	1,021	3,923
8	Belarusian	bel	1,409	1,874
9	Bengali	ben	2,223	1,878
10	Bulgarian	bul	3,667	25,742
11	Catalan	cat	8,328	18,004
12	Chinese	zho	13,337	62,650
13	Czech	ces	17,202	64,442
14	Danish	dan	21,239	64,799
15	Dutch	nld	18,978	111,371
16	English	eng	1,225,237	146,294
17	Estonian	est	5,739	20,605
18	Finnish	fin	8,296	46,271
19	French	fra	216,624	238,463
20	Galician	glg	1,346	2,371
21	Georgian	kat	1,224	2,176
22	German	deu	201,718	292,124
23	Greek	ell	4,862	27,422
24	Hebrew	heb	9,889	10,961
25	Hindi	hin	1,469	3,506
26	Hungarian	hun	11,256	54,989
27	Icelandic	isl	1,518	6,514
28	Italian	ita	66,453	59,830
29	Japanese	jpn	26,921	130,893
30	Kara-Kalpak	kaa	129	568
31	Kazakh	kaz	948	2,454
32	Kirghiz	kir	708	1,528
33	Korean	kor	4,621	22,338
34	Latin	lat	19,240	362
35	Latvian	lav	1,288	8,145
36	Lithuanian	lit	1,985	15,447
37	Macedonian	mkd	1,592	3,901
38	Malay	msa	485	5,416
39	Malayalam	mal	306	1,202
40	Maori	mri	88	319
41	Marathi	mar	405	878
42	Moldavian	mol	2,864	3,720
43	Mongolian	mon	244	2,423
44	Norwegian	nor	14,530	45,923
45	Occitan	oci	452	204
46	Persian	fas	2,837	11,329
47	Polish	pol	14,104	76,720
48	Portuguese	por	11,390	74,721
49	Romanian	ron	5,475	18,464
50	Russian	rus	101,395	82,772
51	Sanskrit	san	4,282	58
52	Serbo-Croatian	hbs	12,743	45,036
53	Sinhala	sin	52	671
54	Slovak	slk	4,205	19,641
55	Slovenian	slv	2,463	18,719
56	Spanish	spa	52,955	228,910
57	Swedish	swe	39,192	71,688
58	Tajik	tgk	476	1,062
59	Tamil	tam	496	1,763
60	Tatar	tat	462	819
61	Thai	tha	215	1,227
62	Tibetan	bod	1,508	344
63	Turkish	tur	2,658	11,874
64	Turkmen	tuk	434	741
65	Uighur	uig	81	1,488
66	Ukrainian	ukr	2,877	4,514
67	Urdu	urd	950	1,005
68	Uzbek	uzb	872	2,757
69	Vietnamese	vie	668	786
70	Welsh	cym	621	2,312
71	Yiddish	yid	1,590	89