Lang_Code	Lang_Name	Num_Speakers_M
aar	Afar	1.5
abk	Abkhazian	0.125
ace	Achinese	3.0
afr	Afrikaans	13.0
aka	Akan	19.0
amh	Amharic	25.0
ang	Old English (ca. 450-1100)	-1.0
ara	Arabic	530.0
arc	Official Aramaic (700-300 BCE)	2.0
arg	Aragonese	0.01
asm	Assamese	13.0
ast	Asturian	0.275
ava	Avaric	0.06
aym	Aymara	2.0
aze	Azerbaijani	27.0
bak	Bashkir	2.0
bam	Bambara	6.0
bar	Bavarian	12.0
bel	Belarusian	6.0
ben	Bengali	230.0
bik	Bikol	2.0
bis	Bislama	-1.0
bod	Tibetan	7.0
bpy	Bishnupriya	0.45
bre	Breton	0.25
bua	Buriat	0.4
bug	Buginese	4.0
bul	Bulgarian	12.0
cat	Catalan	9.0
ceb	Cebuano	20.0
ces	Czech	12.0
cha	Chamorro	0.06
che	Chechen	1.0
chm	Mari (Russia)	0.6
cho	Choctaw	0.02
chr	Cherokee	0.018
chu	Church Slavic	-1.0
chv	Chuvash	1.0
chy	Cheyenne	0.000712
cor	Cornish	0.000245
cos	Corsican	0.25
cre	Cree	0.117
crh	Crimean Tatar	0.456
csb	Kashubian	0.05
cym	Welsh	0.75
dan	Danish	6.0
deu	German	185.0
div	Dhivehi	0.3
dsb	Lower Sorbian	0.014
dzo	Dzongkha	0.6
ell	Modern Greek	15.0
eml	Emiliano-Romagnolo	2.0
eng	English	1500.0
epo	Esperanto	1.0
est	Estonian	1.07
eus	Basque	1.0
ewe	Ewe	4.0
ext	Extremaduran	0.5
fao	Faroese	0.07
fas	Persian	107.0
fij	Fijian	0.55
fil	Filipino (macrolanguage)	90.0
fin	Finnish	6.0
fra	French	200.0
frp	Arpitan	0.113
frr	Northern Frisian	0.01
fry	Western Frisian	0.65
ful	Fulah	13.0
fur	Friulian	0.794
gag	Gagauz	0.16
gla	Scottish Gaelic	0.07
gle	Irish	0.53
glg	Galician	4.0
glk	Gilaki	3.0
glv	Manx	0.002
got	Gothic	-1.0
grn	Guarani	7.0
guj	Gujarati	46.0
hat	Haitian	12.0
hau	Hausa	39.0
haw	Hawaiian	0.027
hbs	Serbo-Croatian	23.0
heb	Hebrew	10.0
hif	Fiji Hindi	0.46
hin	Hindi	550.0
hmo	Hiri Motu	0.12
hsb	Upper Sorbian	0.04
hun	Hungarian	15.0
hye	Armenian	6.0
ibo	Igbo	22.0
ido	Ido	0.003
iii	Sichuan Yi	2.0
iku	Inuktitut	0.03
ile	Interlingue	-1.0
ilo	Iloko	10.0
ina	Interlingua (International Auxiliary Language Association)	0.0003
ipk	Inupiaq	0.002
isl	Icelandic	0.32
ita	Italian	70.0
jav	Javanese	80.0
jbo	Lojban	-1.0
jpn	Japanese	132.0
kaa	Kara-Kalpak	0.41
kab	Kabyle	8.0
kal	Kalaallisut	0.05
kan	Kannada	47.0
kas	Kashmiri	5.0
kat	Georgian	4.0
kau	Kanuri	4.0
kaz	Kazakh	12.0
kbd	Kabardian	2.0
khm	Central Khmer	18.0
kik	Kikuyu	5.0
kin	Kinyarwanda	12.0
kir	Kirghiz	5.0
kom	Komi	0.293
kon	Kongo	7.0
kor	Korean	78.0
krc	Karachay-Balkar	-1.0
ksh	Kölsch	0.25
kua	Kuanyama	0.7
kur	Kurdish	30.0
lad	Ladino	0.109
lah	Lahnda	60.0
lao	Lao	5.0
lat	Latin	-1.0
lav	Latvian	2.15
lbe	Lak	0.12
lez	Lezghian	0.784
lij	Ligurian	2.0
lim	Limburgan	2.0
lin	Lingala	25.0
lit	Lithuanian	4.0
lmo	Lombard	3.0
ltz	Luxembourgish	0.39
lug	Ganda	10.0
mah	Marshallese	0.04
mal	Malayalam	37.0
mar	Marathi	90.0
mdf	Moksha	0.5
mkd	Macedonian	3.0
mlg	Malagasy	20.0
mlt	Maltese	0.37
mol	Moldavian	-1.0
mon	Mongolian	5.0
mri	Maori	0.157
msa	Malay (macrolanguage)	300.0
mus	Creek	0.01
mwl	Mirandese	0.015
mya	Burmese	52.0
myv	Erzya	0.5
mzn	Mazanderani	4.0
nap	Neapolitan	8.0
nau	Nauru	0.006
nav	Navajo	0.178
ndo	Ndonga	1.0
nds	Low German	10.0
nep	Nepali macrolanguage	30.0
new	Newari	0.8
nld	Dutch	27.0
nor	Norwegian	5.0
nov	Novial	-1.0
nrm	Narom	-1.0
nso	Pedi	4.0
nya	Nyanja	9.0
oci	Occitan (post 1500)	2.0
ori	Oriya macrolanguage	31.0
orm	Oromo	26.0
oss	Ossetian	0.52
pag	Pangasinan	2.0
pam	Pampanga	3.0
pan	Panjabi	104.0
pap	Papiamento	0.329
pcd	Picard	-1.0
pdc	Pennsylvania German	0.25
pfl	Pfaelzisch	-1.0
pih	Pitcairn-Norfolk	0.0006
pli	Pali	-1.0
pms	Piemontese	2.0
pnt	Pontic	0.325
pol	Polish	43.0
por	Portuguese	290.0
pus	Pushto	26.0
que	Quechua	10.0
roh	Romansh	0.035
rom	Romany	2.0
ron	Romanian	28.0
rue	Rusyn	0.6
run	Rundi	5.0
rup	Macedo-Romanian	0.3
rus	Russian	278.0
sag	Sango	3.0
sah	Yakut	0.456
san	Sanskrit	0.05
scn	Sicilian	8.0
sco	Scots	2.0
sgs	Samogitian	0.5
sin	Sinhala	19.0
slk	Slovak	7.0
slv	Slovenian	2.0
sme	Northern Sami	0.02
smo	Samoan	0.37
sna	Shona	7.0
snd	Sindhi	41.0
som	Somali	14.0
sot	Southern Sotho	5.0
spa	Spanish	500.0
sqi	Albanian	16.0
srd	Sardinian	2.0
srn	Sranan Tongo	0.3
ssw	Swati	3.0
stq	Saterfriesisch	0.002
sun	Sundanese	27.0
swa	Swahili (macrolanguage)	50.0
swe	Swedish	10.0
syr	Syriac	-1.0
szl	Silesian	0.056
tah	Tahitian	0.12
tam	Tamil	66.0
tat	Tatar	8.0
tel	Telugu	80.0
tet	Tetum	0.8
tgk	Tajik	4.0
tha	Thai	73.0
tir	Tigrinya	7.0
ton	Tonga (Tonga Islands)	0.105
tpi	Tok Pisin	-1.0
tsn	Tswana	4.0
tso	Tsonga	3.0
tuk	Turkmen	9.0
tum	Tumbuka	2.0
tur	Turkish	70.0
udm	Udmurt	0.55
uig	Uighur	10.0
ukr	Ukrainian	45.0
urd	Urdu	60.0
uzb	Uzbek	24.0
vec	Venetian	2.0
ven	Venda	0.875
vep	Veps	6e-06
vie	Vietnamese	80.0
vls	Vlaams	1.0
vol	Volapük	2e-05
war	Waray (Philippines)	3.0
wln	Walloon	0.6
wol	Wolof	4.0
xal	Kalmyk	0.174
xho	Xhosa	8.0
xmf	Mingrelian	0.5
yid	Yiddish	3.0
yor	Yoruba	25.0
zea	Zeeuws	0.22
zha	Zhuang	14.0
zho	Chinese	1575.0
zul	Zulu	26.0
zza	Zaza	2.0